[29-Mar-2019 09:08:34 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:34 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:35 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:35 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:35 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:35 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:10:16 UTC] PHP Warning:  Illegal string offset 'host' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:10:16 UTC] PHP Warning:  Illegal string offset 'dbname' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:10:16 UTC] PHP Warning:  Illegal string offset 'user' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:10:16 UTC] PHP Warning:  Illegal string offset 'password' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[02-Apr-2019 07:41:07 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 20
[02-Apr-2019 07:41:49 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:41:50 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:41:50 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:41:50 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:41:50 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:41:51 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:53 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:53 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:53 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:55 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:55 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:42:55 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:43:13 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:43:14 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:43:14 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:43:49 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
